名前,レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,スキル系統6,スキル値6,スキル系統7,スキル値7,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,仮番号
ヒラバミヘルム,3,0,0,0,0,22,,-3,2,-2,3,0,鱗張りの技法,1,回避性能,1,回復速度,1,,,,,,,,,,,,,,,,,210
アジャラヘルム,3,0,0,0,0,24,,3,-3,1,-2,0,毛皮の昂揚,1,破壊王,1,ボマー,1,,,,,,,,,,,,,,,,,220
トゥナムルヘルム,4,0,0,0,0,26,,-1,4,-3,0,0,ヌシの誇り,1,波衣竜の守護,1,フルチャージ,1,整備,1,,,,,,,,,,,,,,,230
レダゼルトヘルム,4,0,0,0,0,26,,0,-2,4,-3,0,ヌシの誇り,1,煌雷竜の力,1,力の解放,1,,,,,,,,,,,,,,,,,240
エグゾルスヘルム,4,1,0,0,0,26,,5,-4,0,1,0,ヌシの誇り,1,獄焔蛸の反逆,1,逆恨み,1,,,,,,,,,,,,,,,,,250
護闢獣ヘルム,4,1,0,0,0,26,,-3,2,-1,-2,2,護竜の脈動,1,闢獣の力,1,火事場力,1,,,,,,,,,,,,,,,,,270
護火竜ヘルム,4,0,0,0,0,26,,3,1,-2,1,-5,護竜の脈動,1,火竜の力,1,弱点特効,1,威嚇,1,,,,,,,,,,,,,,,280
護兇爪竜ヘルム,4,1,0,0,0,26,,-2,-3,-2,-2,4,護竜の脈動,1,兇爪竜の力,1,連撃,1,,,,,,,,,,,,,,,,,290
シーウーヘルム,4,1,0,0,0,26,,1,1,1,-3,2,革細工の柔性,1,渾身,1,,,,,,,,,,,,,,,,,,,300
護鎖刃竜ヘルム,4,1,0,0,0,30,,2,0,-1,0,-4,護竜の脈動,1,護鎖刃竜の命脈,1,鎖刃刺撃,1,,,,,,,,,,,,,,,,,310
ホープマスクα,5,1,0,0,0,26,,1,0,1,0,0,精霊の加護,2,,,,,,,,,,,,,,,,,,,,,320
レザーヘッドα,5,1,0,0,0,26,,2,0,0,0,0,植生学,2,,,,,,,,,,,,,,,,,,,,,330
チェーンヘッドα,5,1,1,0,0,26,,0,2,0,0,0,地質学,1,,,,,,,,,,,,,,,,,,,,,340
ブラチカグラスα,5,0,0,0,0,32,,-4,1,1,-2,4,甲虫の知らせ,1,昆虫標本の達人,1,弱点特効,1,,,,,,,,,,,,,,,,,350
ブラチカグラスβ,5,2,1,0,0,32,,-4,1,1,-2,4,甲虫の擬態,1,昆虫標本の達人,1,,,,,,,,,,,,,,,,,,,360
ランゴヘルムα,5,0,0,0,0,32,,-2,1,1,1,2,甲虫の知らせ,1,環境利用の知識,1,急襲,1,,,,,,,,,,,,,,,,,410
ランゴヘルムβ,5,2,0,0,0,32,,-2,1,1,1,2,甲虫の擬態,1,環境利用の知識,1,,,,,,,,,,,,,,,,,,,420
ネラチカアクセサリα,5,0,0,0,0,32,,-5,0,0,3,3,甲虫の知らせ,1,睡眠耐性,2,攻勢,1,,,,,,,,,,,,,,,,,450
ネラチカアクセサリβ,5,2,1,0,0,32,,-5,0,0,3,3,甲虫の擬態,1,睡眠耐性,2,,,,,,,,,,,,,,,,,,,460
クックヘルムα,5,1,0,0,0,36,,3,0,-2,-4,2,鱗張りの技法,1,体術,2,火耐性,2,,,,,,,,,,,,,,,,,470
クックヘルムβ,5,2,1,0,0,36,,3,0,-2,-4,2,鱗重ねの工夫,1,体術,2,,,,,,,,,,,,,,,,,,,480
チャタヘルムα,5,1,0,0,0,36,,1,2,-3,-1,1,革細工の柔性,1,早食い,1,広域化,1,,,,,,,,,,,,,,,,,490
チャタヘルムβ,5,2,0,0,0,36,,1,2,-3,-1,1,革細工の滑性,1,早食い,1,,,,,,,,,,,,,,,,,,,500
ゲリョスヘルムα,5,1,0,0,0,36,,-4,3,4,-1,1,革細工の柔性,1,スタミナ急速回復,1,閃光強化,1,,,,,,,,,,,,,,,,,510
ゲリョスヘルムβ,5,1,1,0,0,36,,-4,3,4,-1,1,革細工の滑性,1,スタミナ急速回復,1,,,,,,,,,,,,,,,,,,,520
ボーンヘルムα,5,1,0,0,0,32,,2,0,2,0,2,気絶耐性,1,早食い,1,,,,,,,,,,,,,,,,,,,530
アロイヘルムα,5,1,1,0,0,32,,-2,1,-2,-2,1,納刀術,1,,,,,,,,,,,,,,,,,,,,,540
トリスヘルムα,5,1,0,0,0,36,,2,-3,0,-1,0,鱗張りの技法,1,ひるみ軽減,1,力の解放,1,,,,,,,,,,,,,,,,,550
トリスヘルムβ,5,2,0,0,0,36,,2,-3,0,-1,0,鱗重ねの工夫,1,力の解放,1,,,,,,,,,,,,,,,,,,,560
ラバラヘルムα,5,0,0,0,0,36,,-3,3,0,0,3,甲虫の知らせ,1,麻痺耐性,1,攻勢,1,,,,,,,,,,,,,,,,,570
ラバラヘルムβ,5,1,0,0,0,36,,-3,3,0,0,3,甲虫の擬態,1,攻勢,1,,,,,,,,,,,,,,,,,,,580
プポルヘルムα,5,1,1,0,0,36,,0,-3,0,0,1,革細工の柔性,1,広域化,2,,,,,,,,,,,,,,,,,,,590
プポルヘルムβ,5,2,1,0,0,36,,0,-3,0,0,1,革細工の滑性,1,広域化,1,,,,,,,,,,,,,,,,,,,600
コンガヘルムα,5,1,0,0,0,36,,-3,1,1,-1,2,毛皮の昂揚,1,威嚇,1,満足感,1,,,,,,,,,,,,,,,,,610
コンガヘルムβ,5,2,0,0,0,36,,-3,1,1,-1,2,毛皮の誘惑,1,威嚇,1,,,,,,,,,,,,,,,,,,,620
バーラヘルムα,5,1,0,0,0,38,,-1,2,-3,1,1,鱗張りの技法,1,地質学,1,回避性能,1,,,,,,,,,,,,,,,,,630
バーラヘルムβ,5,2,0,0,0,38,,-1,2,-3,1,1,鱗重ねの工夫,1,回避性能,1,,,,,,,,,,,,,,,,,,,640
レイアヘルムα,5,2,0,0,0,38,,2,0,-2,0,-3,鱗張りの技法,1,精霊の加護,1,回復速度,1,,,,,,,,,,,,,,,,,650
レイアヘルムβ,5,2,1,0,0,38,,2,0,-2,0,-3,鱗重ねの工夫,1,精霊の加護,1,,,,,,,,,,,,,,,,,,,660
スキュラヘルムα,5,0,0,0,0,38,,-2,2,-2,1,2,甲虫の知らせ,1,拘束耐性,1,毒耐性,2,,,,,,,,,,,,,,,,,670
スキュラヘルムβ,5,2,0,0,0,38,,-2,2,-2,1,2,甲虫の擬態,1,拘束耐性,1,,,,,,,,,,,,,,,,,,,680
ヒラバミヘルムα,5,0,0,0,0,38,,-3,2,-2,3,0,鱗張りの技法,1,回避性能,1,回避距離ＵＰ,1,,,,,,,,,,,,,,,,,690
ヒラバミヘルムβ,5,1,1,0,0,38,,-3,2,-2,3,0,鱗重ねの工夫,1,回避性能,1,,,,,,,,,,,,,,,,,,,700
ドシャグマヘルムα,6,2,1,0,0,48,,-3,2,-1,-1,4,毛皮の昂揚,1,闢獣の力,1,満足感,2,気絶耐性,1,,,,,,,,,,,,,,,710
ドシャグマヘルムβ,6,2,1,1,0,48,,-3,2,-1,-1,4,毛皮の誘惑,1,闢獣の力,1,満足感,1,気絶耐性,1,,,,,,,,,,,,,,,720
護雷顎竜ヘルムα,6,0,0,0,0,48,,-1,-1,2,-3,-2,護竜の脈動,1,雷顎竜の闘志,1,挑戦者,2,災禍転福,1,,,,,,,,,,,,,,,730
護雷顎竜ヘルムβ,6,2,0,0,0,48,,-1,-1,2,-3,-2,護竜の守り,1,雷顎竜の闘志,1,挑戦者,2,,,,,,,,,,,,,,,,,740
インゴットヘルムα,6,2,0,0,0,44,,-2,0,3,-1,0,精霊の加護,2,逆恨み,1,,,,,,,,,,,,,,,,,,,750
アジャラヘルムα,6,1,0,0,0,48,,3,-3,1,-2,0,毛皮の昂揚,1,逆恨み,2,ボマー,1,,,,,,,,,,,,,,,,,780
アジャラヘルムβ,6,2,1,0,0,48,,3,-3,1,-2,0,毛皮の誘惑,1,逆恨み,1,ボマー,1,,,,,,,,,,,,,,,,,790
ブランゴヘルムα,6,1,1,0,0,48,,-4,1,0,4,0,毛皮の昂揚,1,雪獅子の闘志,1,広域化,2,逆襲,1,,,,,,,,,,,,,,,800
ブランゴヘルムβ,6,2,1,1,0,48,,-4,1,0,4,0,毛皮の誘惑,1,雪獅子の闘志,1,広域化,2,,,,,,,,,,,,,,,,,810
護闢獣ヘルムα,6,2,1,0,0,48,,-3,2,-1,-2,2,護竜の脈動,1,闢獣の力,1,火事場力,1,腹減り耐性,2,,,,,,,,,,,,,,,820
護闢獣ヘルムβ,6,2,2,1,0,48,,-3,2,-1,-2,2,護竜の守り,1,闢獣の力,1,火事場力,1,,,,,,,,,,,,,,,,,830
護火竜ヘルムα,6,1,1,0,0,48,,3,1,-2,1,-5,護竜の脈動,1,火竜の力,1,弱点特効,1,環境利用の知識,2,,,,,,,,,,,,,,,840
護火竜ヘルムβ,6,2,2,0,0,48,,3,1,-2,1,-5,護竜の守り,1,火竜の力,1,弱点特効,1,,,,,,,,,,,,,,,,,850
グラビドヘルムα,6,2,1,0,0,52,,4,-3,1,0,-2,鱗張りの技法,1,鎧竜の守護,1,フルチャージ,1,耐震,1,,,,,,,,,,,,,,,860
グラビドヘルムβ,6,2,2,0,0,52,,4,-3,1,0,-2,鱗重ねの工夫,1,鎧竜の守護,1,フルチャージ,1,,,,,,,,,,,,,,,,,870
護兇爪竜ヘルムα,6,0,0,0,0,48,,-2,-3,-2,-2,4,護竜の脈動,1,兇爪竜の力,1,連撃,2,耳栓,1,,,,,,,,,,,,,,,880
護兇爪竜ヘルムβ,6,2,0,0,0,48,,-2,-3,-2,-2,4,護竜の守り,1,兇爪竜の力,1,連撃,2,,,,,,,,,,,,,,,,,890
レウスヘルムα,6,1,1,0,0,48,,3,1,-2,1,-3,鱗張りの技法,1,火竜の力,1,回避性能,2,体術,1,,,,,,,,,,,,,,,900
レウスヘルムβ,6,2,2,0,0,48,,3,1,-2,1,-3,鱗重ねの工夫,1,火竜の力,1,回避性能,1,体術,1,,,,,,,,,,,,,,,910
シーウーヘルムα,6,1,0,0,0,48,,1,1,1,-3,2,革細工の柔性,1,暗器蛸の力,1,巧撃,2,急襲,1,,,,,,,,,,,,,,,920
シーウーヘルムβ,6,2,1,0,0,48,,1,1,1,-3,2,革細工の滑性,1,暗器蛸の力,1,巧撃,2,,,,,,,,,,,,,,,,,930
ドーベルヘルムα,7,3,0,0,0,56,,-2,0,-1,-1,4,体術,1,スタミナ急速回復,1,,,,,,,,,,,,,,,,,,,940
ダマスクヘルムα,7,3,1,0,0,56,,4,-2,0,0,0,広域化,1,精霊の加護,2,,,,,,,,,,,,,,,,,,,950
ダハディラヘルムα,7,1,0,0,0,60,,-3,2,-1,2,-1,ヌシの誇り,1,凍峰竜の反逆,1,挑戦者,1,弱点特効,1,,,,,,,,,,,,,,,960
ダハディラヘルムβ,7,2,2,0,0,60,,-3,2,-1,2,-1,ヌシの憤激,1,凍峰竜の反逆,1,挑戦者,1,,,,,,,,,,,,,,,,,970
レダゼルトヘルムα,7,0,0,0,0,60,,0,-2,4,-3,0,ヌシの誇り,1,煌雷竜の力,1,力の解放,2,回避距離ＵＰ,1,,,,,,,,,,,,,,,980
レダゼルトヘルムβ,7,3,0,0,0,60,,0,-2,4,-3,0,ヌシの憤激,1,煌雷竜の力,1,力の解放,1,回避距離ＵＰ,1,,,,,,,,,,,,,,,990
トゥナムルヘルムα,7,2,1,0,0,60,,-1,4,-3,0,0,ヌシの誇り,1,波衣竜の守護,1,整備,2,耳栓,1,,,,,,,,,,,,,,,1000
トゥナムルヘルムβ,7,3,2,0,0,60,,-1,4,-3,0,0,ヌシの憤激,1,波衣竜の守護,1,整備,1,耳栓,1,,,,,,,,,,,,,,,1010
エグゾルスヘルムα,7,1,1,0,0,60,,5,-4,0,1,0,ヌシの誇り,1,獄焔蛸の反逆,1,逆恨み,2,逆襲,1,,,,,,,,,,,,,,,1020
エグゾルスヘルムβ,7,2,2,0,0,60,,5,-4,0,1,0,ヌシの憤激,1,獄焔蛸の反逆,1,逆恨み,1,逆襲,1,,,,,,,,,,,,,,,1030
ゴアヘルムα,7,2,0,0,0,60,,-2,3,-1,2,-1,鱗張りの技法,1,黒蝕竜の力,1,回避性能,2,災禍転福,1,,,,,,,,,,,,,,,1040
ゴアヘルムβ,7,3,1,0,0,60,,-2,3,-1,2,-1,鱗重ねの工夫,1,黒蝕竜の力,1,回避性能,1,災禍転福,1,,,,,,,,,,,,,,,1050
調査団ヘルムα,7,1,0,0,0,44,,2,2,0,0,0,挑戦者,1,渾身,1,,,,,,,,,,,,,,,,,,,1060
クナファヘッドα,7,2,0,0,0,44,,1,1,4,1,1,先達の導き,1,広域化,2,オトモへの采配,1,,,,,,,,,,,,,,,,,1070
アズズヘッドα,7,2,0,0,0,44,,4,1,1,1,1,先達の導き,1,渾身,2,,,,,,,,,,,,,,,,,,,1080
シルドフードα,7,2,1,1,0,44,,1,1,1,1,4,先達の導き,1,植生学,3,,,,,,,,,,,,,,,,,,,1100
デスギアゲヒルα,7,2,0,0,0,44,,3,2,-2,3,4,先達の導き,1,逆恨み,1,急襲,1,,,,,,,,,,,,,,,,,1110
パピメルテスタα,7,2,0,0,0,44,,-1,-1,2,0,2,先達の導き,1,体術,1,回避性能,1,回避距離ＵＰ,1,,,,,,,,,,,,,,,1120
オウビートテスタα,7,2,0,0,0,44,,-1,-1,2,0,2,先達の導き,1,火事場力,1,攻勢,1,睡眠耐性,1,,,,,,,,,,,,,,,1130
ハイメタヘルムα,7,2,0,0,0,44,,0,-1,-2,3,0,先達の導き,1,気絶耐性,3,破壊王,1,,,,,,,,,,,,,,,,,1140
バトルヘルムα,7,2,0,0,0,44,,2,-1,-1,0,0,先達の導き,1,スタミナ急速回復,2,,,,,,,,,,,,,,,,,,,1150
メルホアフロールα,7,2,0,0,0,44,,0,1,3,0,0,先達の導き,1,環境利用の知識,3,毒耐性,2,,,,,,,,,,,,,,,,,1160
アーティアヘルムα,7,2,1,0,0,44,,1,-2,-2,2,3,護竜の守り,1,鎖刃刺撃,1,耳栓,1,,,,,,,,,,,,,,,,,1170
ギルドエースピアスα,8,3,0,0,0,60,,2,2,2,2,2,フルチャージ,1,攻勢,1,体術,1,,,,,,,,,,,,,,,,,1180
シュバルカヘルムα,8,0,0,0,0,66,,2,0,-1,0,-3,毛皮の昂揚,1,鎖刃竜の飢餓,1,属性変換,1,属性吸収,2,,,,,,,,,,,,,,,1190
シュバルカヘルムβ,8,3,2,1,0,66,,2,0,-1,0,-3,毛皮の誘惑,1,鎖刃竜の飢餓,1,属性変換,1,,,,,,,,,,,,,,,,,1200
護鎖刃竜ヘルムα,8,1,1,0,0,66,,2,0,-1,0,-4,護竜の脈動,1,護鎖刃竜の命脈,1,鎖刃刺撃,1,破壊王,2,,,,,,,,,,,,,,,1210
護鎖刃竜ヘルムβ,8,3,1,0,0,66,,2,0,-1,0,-4,護竜の守り,1,護鎖刃竜の命脈,1,鎖刃刺撃,1,破壊王,1,,,,,,,,,,,,,,,1220
竜王の隻眼α,8,0,0,0,0,60,,0,0,0,0,0,逆襲,3,,,,,,,,,,,,,,,,,,,,,1230
ハナショウジョウα,5,1,0,0,0,36,,-3,2,-2,2,2,毛皮の昂揚,1,急襲,1,昆虫標本の達人,1,,,,,,,,,,,,,,,,,1240
調査隊の耳飾りα,5,1,0,0,0,40,,1,1,1,1,1,属性やられ耐性,1,災禍転福,1,,,,,,,,,,,,,,,,,,,1250
